,Timestamp,Username,VideoID,Comment,Date,Lang
0,2024-01-27T05:19:58Z,@JeffSaturSATS,qguo-j5PxBE,Yellow leaf is falling …. On 8 February,2024-01-27T05:19:58Z,en
1,2024-01-27T05:39:49Z,@minesatur,qguo-j5PxBE,WHAT??????,2024-01-27T05:39:49Z,sw
2,2024-01-27T05:39:56Z,@minesatur,qguo-j5PxBE,"JEFF, COME HERE NOW",2024-01-27T05:39:56Z,vi
3,2024-01-27T05:40:06Z,@minesatur,qguo-j5PxBE,"OMGGGGG, I CAN'T BELIEVE IT",2024-01-27T05:40:06Z,en
4,2024-01-27T05:45:04Z,@เงี่ยนเลยต้องYes,qguo-j5PxBE,A new song?,2024-01-27T05:45:04Z,tl
5,2024-01-27T05:47:29Z,@DanielaReyes-lg2my,qguo-j5PxBE,Estoy emocionada 😊,2024-01-27T05:47:29Z,es
6,2024-01-27T05:49:00Z,@minesatur,qguo-j5PxBE,@@เงี่ยนเลยต้องYes YESSSS,2024-06-12T20:53:50Z,th
7,2024-01-27T06:07:21Z,@zainabkadwa,qguo-j5PxBE,YAY!! I'm so happy & excited!! Looking forward to it!! I LOVE YOU!! ❤️ 🙂,2024-01-27T06:07:21Z,en
8,2024-01-27T06:07:41Z,@thidarat3883,qguo-j5PxBE,เพราะมาก ชอบพระเอกMVตอนปีนต้นมะพร้าว,2024-01-27T06:07:41Z,th
9,2024-01-27T06:09:11Z,@zainabkadwa,qguo-j5PxBE,​@@เงี่ยนเลยต้องYesI believe it's an album. Last year he had mentioned in an interview that he would be coming out with an album that would consist of about 10 songs.,2024-06-12T20:53:50Z,en
10,2024-01-27T06:10:36Z,@RainnyPanSang,qguo-j5PxBE,Can't wait,2024-01-27T06:10:36Z,en
11,2024-01-27T06:28:51Z,@puping0422,qguo-j5PxBE,ok 08/02/67,2024-01-27T06:28:51Z,sk
12,2024-01-27T06:42:02Z,@Imbawblack,qguo-j5PxBE,ห๊าาาาาา อารายน้อวว,2024-01-27T06:42:02Z,th
